ID do bug,Título,Etapas para reprodução,Resultado esperado,Resultado real,Prioridade
Jackytest1,Zoom no mapa,Abra o site do Urban.Routes,O mapa corresponde ao design. O nível de zoom é adequado para visualizar a cidade.," O nível de zoom é adequado para visualizar a cidade, PORÉM não específica qual cidade.",Grave
Jackytest2,"Selecionar o campo ""De""","Clique no campo ""De"".","O campo ""De"" é selecionado. O cursor pisca. O campo de pesquisa fica vazio.","O campo não fica totalmete vazio ,fica aparecendo o placeholder!",Trivial
Jackytest3,Busca por objeto,"Digite ""Subway"".",A lista de estações de metrô é exibida.,Nada aconteceu para mim,Critico
Jackytest4,"Preenchimento do campo ""De""","Clique no campo ""De"".","O campo ""De"" é selecionado. O cursor pisca. O campo de pesquisa fica vazio.","1-O campo não fica totalmete vazio ,fica aparecendo o placeholder! (UMA SUGESTAO) 1300 1st St (2) o mapa não dar zoom no local e não inseri o PIN de LOCALIZAÇÃO. ",Grave
Jackytest5,"Preenchimento do campo ""Para""","Clique no campo ""Para"".","O campo ""Para"" é selecionado. O cursor pisca. O campo de pesquisa fica vazio.",Novamente o campo não fica vazio porque aparece uma sugestao,Trivial
Jackytest7,Modo de visualização em tela cheia,Clique no botão de modo de visualização em tela cheia.,O modo de visualização em tela cheia é ativado e as abas do navegador são ocultadas. Todos os objetos da interface do mapa estão no lugar. O nível de zoom não muda.,no modo tela cheia os objetos da interface não continuam no lugar somem!!!,Grave
Jackytest6,Limpar os campos,"Clique na cruz no campo ""De"".",O campo está vazio. O endereço inserido anteriormente é removido do campo./ O campo está vazio. O endereço inserido anteriormente é removido do campo.,Reprovado porque o campo nunca esta vazio,Trivial
Jackytest8,Modo de renderização,Aproxime o cursor do botão do modo Satélite.,O botão mudou de cor. A opção Marcadores está aberta na lista.,Quando Aproximado o cursor do botão do modo Satélite nada aparece,pequeno
Jackytest9,Renderização de objetos,"Aumente o zoom em uma estação de Metrô, LA (exemplo: Estação Central de Long Beach).",O ícone do metrô é exibido.,não aparece nenhum icone para mim!,Pequeno
Jackytest10,Visualização de informações dos objetos,Clique em um lugar no mapa (exemplo: Estádio Dodger).,A exibição de informações (com informações do local) está aberta. A visualização corresponde ao design.,Também não encontrei estação Dodger!,pequeno
Jackytest11,Informações do aplicativo,Clique no logotipo do Urban.Routes.,A exibição de informações do aplicativo é exibida.,nada aconteceu para mim,Trivial
JACKYTESTECASO3,Objetos não clicáveis,Abra o site do Urban.Routes 1.Clique no nome do local presente no mapa (exemplo: Hollywood). 2.Clique no nome do local presente no mapa (exemplo: West Hollywood).,1.Nada acontece. Os cabeçalhos de área não podem ser selecionados. 2.Nada acontece. Os cabeçalhos de área não podem ser selecionados.,Os cabeçalhos dos locais podem SIM ser selecionados. e todas as informações aparecem !!!!,pequeno
